Oinwe	Ve.
Tsasiwe	Deténlo.
Biwe	Cógelo.
Yoiwe	Decime.
Tomanra piibake	Tom comió.
Tomra ishtoibake	Tom corrió.
Tomanra kananke	Tom ganó.
Wenixon ea manawe	Espérame despierto.
¡Weniwe!	¡Despierta!
¡Weniwe moa!	¡Despertate!
Weniwe	Despierta.
Nonra masa shinanai	Nos preocupamos.
Nonra onanke	Lo sabemos.
Nonra ayamake	Perdimos.
Bekanwe	Bienvenidos.
Bekanwe	Bienvenidas.
¿Tsonki piia?	¿Quién comió?
¿Tsoaki ishtoibata?	¿Quién corría?
¿Tsoaki ishtoa?	¿Quién corrió?
¿Tsonki kanana?	¿Quién ganó?
Ishtowe	Corre.
Minra kananke	Has ganado.
¿Xoarin ea?	¿Estoy gordo?
Jato yokawe	Preguntales.
Jato yokawe	Pregúntales.
Oke awe	Aparta.
Oke iwe	Apártate.
Koshiwe	Sé fuerte.
Maxkocha yoiwe	Sea breve.
Maxkocha yoikanwe	Sean breves.
Jakonres iwe	Estate quieto.
Kati riki	Anímate.
Jowe	Venga.
¡Netewe!	¡Cálmate!
Nerawe	Espósale.
Nato jakon awe	Arregla esto.
Naman	Abajo.
Pakewe	Túmbate.
¡Manowe!	¡Piérdete!
¡Jakon akin shinanwe!	¡Piénsalo bien!
Kawe	Adelante.
Jikiwe	Entra.
Jikikanwe	Entren.
Jikiwe	Entrá.
¡Jakon tee!	¡Buen trabajo!
Yatanwe	Agárralo.
Jakon winokanwe	Diviértanse.
Jakon winowe	Pásala bien.
Jakon winokanwe	Pásenla bien.
Jara yoyo ike	Él habló.
Janra tanai	Él prueba.
Akinwe	Ayúdalo.
Jakon	Buenas.
¡Jakoinra!	¡Qué encanto!
Ea jen imawe	Compláceme.
¡Ishtontani jowe!	¡Date prisa!
Ishtontani jowe	Apresúrate.
Jakon riki	Convine.
Enra jen ake	Acepté.
Jainra ea ike	Accedí.
Eara yosi iki	Estoy viejo.
Ea kati atipana	Puedo ir.
Enra ake	Lo hice.
Enra ati atipanyamake	Fracasé.
Eara shinanbenoke	Lo olvidé.
Moara en ninkake	Lo entiendo.
Eara jaya iki	Lo tengo.
Enra ayamai	Me niego.
Enra tee jeneai	Renuncio.
Enra oinke	Lo vi.
Osanwe	Sonreí.
Eara baneke	Me quedé.
Manawe	Esperé.
Enra kopiakai	Yo pagaré.
Eara joribake	He vuelto.
Manko riki ea	Soy calvo.
Manko riki ea	Estoy calvo.
Jakon riki ea	Estoy calmado.
Jakon riki ea	Estoy tranquilo.
Enra keyoke	He terminado.
Jakon akin akai riki ea	Soy justo.
Jakon riki ea	Estoy perfectamente.
¡Eabicho riki!	¡Soy libre!
Poto riki ea	Estoy lleno.
Poto riki ea	Estoy llena.
Neno riki ea	Estoy aquí.
Jakomacha riki ea	Estoy herido.
Yantanra nokoibake	Llego tarde.
Jawe ayamai riki ea	Soy vago.
Jaweranora ea ibirai	Estoy perdida.
Jakoma riki ea	Soy malo.
Jaweyomaobi riki ea	Soy pobre.
Icha jawekiya riki ea	Soy rica.
Icha jawekiya riki ea	Soy rico.
Isini riki ea	Estoy enferma.
Oshicha riki ea	Soy delgado.
Keresma riki ea	Estoy limpio.
Xana riki ea	Estoy calentito.
Koshiyoma riki ea	Estoy débil.
Moa atires riki ea	Soy listo.
Enra kananke	Gané.
Janra akinai	Eso ayuda.
Isin riki	Duele.
Irai	Funciona.
Tom riki	Es Tom.
Osanti riki ja	Es divertido.
Mina riki	Es suyo.
Bena riki	Es nuevo.
Onantikoma	Es extraño.
Payoshoko	Es viejo.
Joshin riki	Es rojo.
Onis riki	Es triste.
Winotima	Prohibido pasar.
Jikitima	No entrar.
Jenewe	Déjalo.
Ea jenewe	Déjame.
Noa jenewe	Déjanos.
Kawe	Vamos.
Koiramewe	Cuidado.
Ebe wanowe	Cásate conmigo.
¿Ea kati atipana?	¿Puedo ir?
Jara joibake	Ella vino.
Jara mawaibake	Ella murió.
Jara ishtoai	Ella corre.
Yakawe	Siéntate.
Neno yakawe	Siéntate aquí.
Tanawe	Prepárate.
Manawe	Un momento.
¡Weniwe!	¡Parate!
¡Chankawe!	¡De pie!
¡Jakon riki!	¡Genial!
Jabaonra kanainbake	Ellos ganaron.
Tomra joibake	Tom vino.
Tomra jansoibake	Tom mintió.
Tomasra jansoai	Tomás miente.
Tomanra ayamaibake	Tom perdió.
Tomanra kopiaibake	Tom pagó.
Tomanra tee jeneibake	Tom renunció.
Tomra nonoibake	Tom nadó.
Tomra wini bake	Tom lloró.
Yantainra	Demasiado tarde.
Nato tanakanwe	Prueben esto.
Nato tanawe	Prueba esto.
Nato awe	Usa esto.
Ea oinwe	Mírame.
Ea koiranwe	Vigílame.
Ea oinwe	Obsérvame.
Ea oinkanwe	Obsérvalos.
Tananon ikanwe	Lo intentamos.
Noara kai	Iremos.
Jakon riki noa	Estamos bien.
¿Jawe kopi?	¿Para qué?
¡Osantires!	¡Qué divertido!
¿Tsoaki joa?	¿Quién vino?
¿Tsoaki mawata?	¿Quién murió?
¿Tsoaki nonoibata?	¿Quién nadó?
Ea wishawe	Escríbeme.
Mia pari	Tú primero.
Mia pari	Usted primero.
Wishawe ¡chii!	Apunta. ¡Fuego!
Ea yoiwe	Respóndeme.
Ea yoikanwe	Respondedme.
Ea yoikanwe	Respóndanme.
Jesus	Jesús.
Netewe	Cálmate.
Jakonwe	Tranquilízate.
Yatanwe	Captúralo.
Yatankanwe	Captúrenlo.
Yatankanwe	Atrápenlo.
Yatanwe	Atrápalo.
Banewe	Vuelve.
Yowe	Ven.
Neri jowe	Venid aquí.
Jakiribi jowe	Vuelve pronto.
Rama awe	Hazlo ahora.
Yokayamawe	No preguntes.
Winiyamawe	No llores.
¡Winiyamawe!	¡No llorés!
¡Winiyamawe!	¡No llores!
Winiyamakanwe	No lloren.
Jansoyamawe	No mintáis.
¡Jakon riki!	¡Fantástico!
¡Kikin jakon!	¡Es estupendo!
Nato awe	Tienta esto.
Chibanwe	Sígueme.
Noa chibanwe	Síguenos.
Eki shinanbenowe	Olvídame.
Eki shinanbenokanwe	Olvídenme.
AKanwe	Preparáos.
Nato yatanwe	Agarra esto.
Enra osanai	Sonrió.
Noeshaman	Es rico.
Neno riki ea	Acá estoy.
Nato yatanwe	Sostén esto.
¡Eritain!	¡Qué horror!
¡Jaskara ikon!	¡Qué raro!
Tee akiriki ea	Estoy ocupada.
Eara jakon iki	Soy bueno.
Eara noyati atipanke	Puedo volar.
Eara ishtoti atipanke	Puedo correr.
Eara ishtoaiki	Sé correr.
Eara shinan keyoibake	Quedé inconsciente.
Eara menibakanke	Me dieron.
Eara menikanwe	Me alcanzaron.
Enra omisai	Lo odio.
Jara en manai	Eso espero.
Enra onainbake	Lo sabía.
Enra osainbake	Me reí.
Nokon ken riki	Me gusta.
¡Enra noike!	¡Lo adoro!
Eara jan kenai	Lo necesito.
Enra oinke	Le vi.
Enra mia oinbake	Te vi.
Eara tati ibake	Me tropecé.
Bewarai ea	Cantaré.
Eabicho riki	Estoy solo.
Sinata riki ea	Estoy enojado.
Moa jishtena riki ea	Estoy despierto.
Enra oinyamai	Soy ciega.
Tasketa riki ea	Estoy quebrado.
Jakoma riki ea	Estoy loco.
Paena riki ea	Estoy borracho.
Xeacha riki en	Estoy tomada.
Keteta riki ea	Estoy prendida.
Noikana riki ea	Soy amado.
Noikana riki ea	Soy amada.
Xoa riki ea	Soy obeso.
Moa atires riki ea	Estoy listo.
Akaskinmabira en mia ake	Lo siento.
Eara manoke	He perdido.
Shinanbenowe	Ólvidalo.
¿Tomki jain iki?	¿Está Tom?
¿Jakomarin?	¿Es grave?
¿Jakomarin ja?	¿Es malo?
¿Ochorin?	¿Está lejos?
¿Miarin?	¿Eres tú?
Menorake	Se quemó.
Ayamarake	Falló.
Jakomara ike	Fracasó.
Oira beke	Llovió.
Matsichara ike	Nevó.
Pisi riki	Apesta.
Ikia	Funcionó.
Matsi riki	Hace frío.
Matsi riki	Está frío.
Ramabi bea riki	Está fresco.
Yame rik	Está oscuro.
¡Moa riki!	¡Está listo!
Yantanriki moa	Es tarde.
Jakon riki	Es agradable.
Keyorake	Se terminó.
Moara keyoke	Se acabó.
¡Ikon riki!	¡Es verdad!
Ikon	Es verdad.
Nato benxoawe	Guarda esto.
Nato benxoakanwe	Guarden esto.
Xananko iwe	Mantente caliente.
Xananko ikanwe	Manténgase caliente.
Rakowe	Mantenete abrigado.
Rakokanwe	Mantente abrigado.
Rakokanwe	Manténganse abrigados.
Rama katanwe	Ahora márchate.
Rama kawe	Ahora vete.
Rama katanwe	Ahora lárgate.
¡Ea kamawe!	¡Déjame marchar!
¡Ea jenewe!	¡Suéltame!
¡Ea kamawe!	¡Déjeme ir!
Ea jikimawe	Déjame entrar.
Ea jikimakanwe	Déjeme entrar.
Noa jikimakanwe	Déjanos entrar.
Pinon ikanwe	Comamos.
Oino ikanwe	Veamos.
¡Tananon akanwe!	¡Intentémoslo!
Ninkawe	Escuchá.
Xakaawe	Aflójalo.
Jenewe	Suéltala.
Xakaawe	Aflójala.
Jain yakati jenewe	Deja sitio.
Winomawe	Deja pasar.
¡Kikin kapo akin pota!	¡Buen tiro!
¡Jakoinra!	¡Por supuesto!
¿Ea ninkawe?	¿Perdona?
Sawewe	Póntelo.
Nato yoyo awe	Lee esto.
Nato yoyo awe	Lea esto.
Nato yoyo akanwe	Lean esto.
Jawekeskarin awe	Decí hola.
Bochiki oinwe	Véase arriba.
¡Yatanwe!	¡Cogedlo!
¡Yatankanwe!	¡Arrestadlo!
¡Keteawe!	¡Prendedlo!
Jara niai	Ella anda.
Jara niai	Ella camina.
Niwe	Anda.
Jakon riki ja	Está buena.
Neno firimakanwe	Firme aquí.
Nato firimawe	Firma esto.
Neno yakawe	Sentate ahí.
Jainbi iwe	Tú mantente.
Jainbi yakawe	Quieto.
Jainmacha	Más despacio.
Jeman pikowe	Fuera.
Oke kawe	Aléjate.
Nenobi banewe	Quedate acá.
Yatanwe	Deténlos.
Chankamawe	Párales.
¡Koiramewe!	¡Cuidate!
¡Koiramewe!	¡Te cuidas!
Minki menia	Encárgate tú.
Nato yatanwe	Toma esto.
Nato yatankanwe	Tome esto.
Ja riki	Eso es.
¿Jatian ramakan?	¿Entonces qué?
Pakekiakana	Calleron.
Ayamakiakana	Perdieron.
Tomasninra ake	Tomás condujo.
Tomanra kexeai	Tom teje.
Tomanra onanke	Tom sabe.
Tomra nonoai	Tom nada.
Tomanra akai ike	Tom juró.
Tomasninra potake	Tomás votó.
Tomra niai	Tom camina.
Tomra jowe ike	Tom saludó.
Tomasra teetai	Tomás trabaja.
Tomra kai	Tom irá.
Tanawe	Pruébatelo.
Neno manawe	Espera aquí.
Nenobi banewe	Aguarda aquí.
Nenobi manakanwe	Esperen aquí.
¡Jakomaakana!	¡Abusado!
Nonra jakomaake	Fallamos.
Noara shinanbenoke	Nos olvidamos.
Noara yoyo ike	Conversamos.
Nonra manaibake	Nosotros esperamos.
Ja pekao non oinon	Después veremos.
Nonra oinai	Ya veremos.
¡Nonra kananke!	¡Hemos ganado!
¿Jaweki ja?	¿Qué hay?
¿Tsoarin ja?	¿Quién es?
Yoita	Aabe...
Min bowe	Tú maneja.
Min peowe	Tú empieza.
Minra tanake	Lo intentaste.
Bochikicha	Más alto.
¿Ikonrin ea yoyo ika?	¿Tengo razón?
¿Eaki jainmacha iki?	¿Me equivoco?
¿Jainmacharin ea?	¿Estoy equivocada?
¿Jakonrin mia?	¿Estás bien?
¿Wenitirin mia?	¿Estás levantado?
¡Koiramewe!	¡Ten cuidado!
¡Koirametaniwe!	¡Sé cuidadoso!
Jakon iwe	Estate contento.
Manatai iwe	Sea paciente.
Ninkatai iwe	Sé serio.
Piti bewe	Traed comida.
Vino bewe	Trae vino.
¿En mia akinti atipana?	¿Puedo ayudar?
Nato bowe	Lleva esto.
Nato oinwe	Comprueba esto.
Westiora biwe	Escoge uno.
Miabicho jowe	Ven solo.
Jowe	Vente.
Yantainra joyamawe	Ven temprano.
¡Meniwe!	¡Pásale!
Menikanwe	¡Pásenle!
¡Ishtoncha jowe!	¡Ven rápido!
¡Ishton jowe!	¡Vení rápido!
¡Jenewe moa!	¡Ya párale!
¿Tomanki aka?	¿Fue Tom?
Joyamawe	No vengas.
¡Choronyamawe!	¡No saltéis!
Oinyamawe	No miréis.
Bewayamawe	No cantes.
Bewayamakanwe	No canten.
Jeneyamawe	No pares.
¡Yoyo iyamawe!	¡No hables!
Yoyo iyamawe	No hables.
¡Manayamawe!	¡No esperes!
¡Manayamakanwe!	¡No esperen!
Manayamawe	No esperes.
Sai iyamawe	No grites.
Jainmacha piwe	Come despacio.
¡Jainmacha piwe!	¡Comé despacio!
Chibanwe	Síguele.
Shinanbenokanwe	Olvídenlo.
Noa ninkaxonwe	Perdónenos.
Diosra jake	Dios existe.
Okorake	Tosió.
Paninrake	Descolgó.
Jakoma riki	Está arruinado.
Jara jansoai	Él miente.
Jara onan iki	Es inteligente.
Neno riki	Aquí está.
Kati riki	Aquí vamos.
Jainbi iwe	Hey, cálmate.
Jainbi iwe	Mantente quieto.
¡Jakomacha!	¡Qué aburrimiento!
¡Metsaira!	¡Qué bonito!
¡Kikin kapo!	¡Encantador!
¡Eritain!	¡Qué trágico!
Janra yoike	Lo admito.
Jawe atiyoma riki ea	Estoy aburrida.
¡Kikin jakon riki ea!	¡Soy feliz!
¡Jakoinra!	¡Estoy feliz!
Chorontiki ea atipana	Puedo saltar.
Yoyo atiki en onana	Sé leer.
Eaki bewati atipana	Puedo cantar.
Enki nonoti atipana	Sé nadar.
Enra onanyamake	Lo dudo.
Neno	Como aquí.
Enra akinyamai	Lo envidio.
Enra merake	Lo encontré.
Eara manoke	Me perdí.
Enra mia omisai	Te detesto.
Enra mia ninkatai	Te oigo.
En mia akinban	Le ayudo.
Enra onanke	La conozco.
Enra onanke	Lo conozco.
Ramara en onanke	Ahora sé.
Kikin jakon riki mia	Me agradas.
Nokon kenra ike	Me gustó.
Enra noike	Lo amo.
Enra noike	Te quiero.
Enra mia noike	Te amo.
¡Enra mia noike!	¡Te amo!
Nokon kenra ike	Me encantó.
Enra shinanai	Lo extraño.
Matsira ea kenai	Necesito hielo.
Enra akinai awanke	Prometí.
Enra shinanai	Me acuerdo.
Enra shinanai	Yo recuerdo.
Sai irake ea	Grité.
Eara sai ike	Yo grité.
Eara jaibake	Sobreviví.
Jaskarakeska riki	Eso creo.
Enra kinainbak e	Vomité.
¡Westiorara ea kenai!	¡Quiero uno!
¡Westiora ea kenai!	¡Quiero una!
Yantanchara ea nokoke	Llegué tarde.
Enra akai	Lo haré.
Eara frances iki	Soy francés.
Eara coreano iki	Soy coreano.
Ea jisara jaribake	Soy gemelo.
Bii riki ea	Estoy comprando.
Jakoma riki ea	Soy torpe.
Jainra ea kai	Ahí voy.
Pii riki ea	Estoy comiendo.
Jaskara riki ea	Soy codicioso.
Jaskara riki ea	Soy inmune.
Enra moa onanke	Me mudaré.
Jakon riki ea	Soy normal.
Rateta riki ea	Estoy asustado.
Ea bicho riki	Estoy soltero.
Oshia riki ea	Estoy flacucho.
¡Oxakasi riki ea!	¡Tengo sueño!
Eara oxakasai	Tengo sueño.
Enra pike	He comido.
¿Mawakia?	¿Está muerto?
¿Anirin?	¿Es alto?
¿Bitiresrin?	¿Es gratis?
¿Jakonrin?	¿Está bueno?
¿Nenorin?	¿Es acá?
¿Neno?	¿Aquí?
¿Nenoki itina?	¿Está aquí?
¿Ikonrin?	¿Es seguro?
¿Ikonrin?	¿Es verdad?
¿Jarin?	¿Es ese?
¿Jaskararin?	¿Es así?
¿Natorin?	¿Es este?
Jaskara winotai	Eso pasa.
Nokona riki	Es mío.
Mawatama riki	Está vivo.
Jawera yamake	Está vacío.
Akia	Es magia.
Moarin	Está listo.
Neno riki	Está ahí.
Joxorin	Es blanco.
Niwekiai	Hace viento.
Jesusra winibake	Jesús lloró.
¡Kareswe!	¡Continúa!
¡Jakon iw!	¡Quédate tranquilo!
¡Netekanwe!	¡Guarden silencio!
Jainbi iwe	Mantenete quieto.
Jainbi ikanwe	Manténgase quieto.
¡Kamawe!	¡Déjale irse!
Jikimawe	Déjalo entrar.
Jikimakanwe	Dejalo entrar.
¡Ea pikomakanwe!	¡Déjame salir!
Ea oinmakanwe	Déjame ver.
Ointa	A ver.
Yoyo iti riki	Charlemos.
Betsoananon ikanwe	Besémonos.
Tsininon ikanwe	Juguemos.
Jenenon ikanwe	Renunciemos.
Yoyo inon ikanwe	Cantemos.
Nononon ikanwe	Nademos.
Yoyo inon ikanwe	Conversemos.
Potanon ikanwe	Votemos.
Kanon ikanwe	Caminemos.
Teenon ikanwe	Trabajemos.
Wenimawe	Levántalo.
Ono oinwe	Mira allí.
Titara winibake	Mamá lloró.
Enra jawebi yoiyamai	Sin comentarios.
¡Jawe atikoma jawekiyoma!	¡Sin problemas!
Jawe yama	Ningún problema.
Wetsa awe	Reemplazadlo.
Jamawe	Di patata.
Osanwe	Sonría.
Yoxan riki	Es vieja.
Mesta riki	Es guapa.
Bewawe	Canta.
Nato xetewe	Huele esto.
Nato xetekanwe	Huelan esto.
Nenonxon peowe	Empieza aquí.
Neno oinwe	Mantente alerta.
Nenobi iwe	Mantente consciente.
Jishtena iwe	Mantente despierto.
Ochomacha iwe	Mantente cerca.
Jainbi banewe	Quédate ahí.
¡Ishtoncha!	¡Más rápido!
Jainbi banewe	Detente ahí.
Icha yoyo awe	Estudia harto.
¡Ea yoyo awe!	¡Háblame!
¡Ebe yoyo iwe!	¡Habla conmigo!
Jakoinra bake	Buen chico.
Isin riki	Eso duele.
Natora ikai	Eso funciona.
Jansorakanke	Engañaron.
Jakoma jawekira akanke	Hicieron trampas.
Banerakanke	Se quedaron.
Jainbira banekanle	Se mantuvieron.
Akasrakanke	Lo intentaron.
Jabaonra potake	Ellos votaron.
Potakanke	Votaron.
Noara nokoke	Hemos llegado.
Nato riki	Éste es.
Natora ikai	Esto funciona.
Natora teetai	Esto trabaja.
Tomara ike	Tomás eructó.
Tomanra kenake	Tom llamó.
Tomasra ransake	Tomás bailó.
Tomra ransai	Tom baila.
Tom bakeshoko	Tom bebe.
Tomanra xeai	Tom toma.
Tomasninra boai	Tomás conduce.
Tomra baneke	Tom reprobó.
Tomra baneke	Tom fracasó.
Tomra timananke	Tom peleó.
Tomanra jeneyamake	Tom luchó.
Tomanra akinke	Tom ayudó.
Tomra choronke	Tom saltó.
Tomanra oinke	Tom miró.
Tomra kake	Tom asintió.
Tomanra ninkaibake	Tom obedeció.
Tomra yoyo ibake	Tomás telefoneó.
Tomra orainbake	Tom rezó.
Tomanra niwe xeaibake	Tom suspiró.
Tomanra osainbake	Tom sonrió.
Tomra raax ikai	Tom ronca.
Tomra yoyo ikai	Tom charló.
Tomanra manaibake	Tomás esperó.
Tomra kaibake	Tom caminó.
Tomra teeibake	Tom trabajó.
Tomra xabaibake	Tom bostezó.
Tomra sai ibake	Tom gritó.
Tomra winibake	Tom llorará.
Tomra mawatai	Tom morirá.
Tomanra kopiakai	Tom pagará.
Keteawe	Enciéndelo.
¿Osantiki ika?	¿Fue divertido?
¿Osantirin ikon?	¿Era divertido?
Nato oinwe	Mira esto.
Nato oinkanwe	Miren esto.
Noara bene jonibo iki	Somos hombres.
Cedes binon ikanwe	Compramos cedés.
Nonra kananti atipanke	Podemos ganar.
Nonra osanke	Nos divertimos.
Nonra osanke	Nos reímos.
Non kenra ike	Nos gusta.
Nonra ake	Lo hicimos.
Noara kati jake	Debemos irnos.
Noara kenai	Lo queremos.
Nonra jakomaake	Fracasaremos.
Nonra akinai	Ayudaremos.
Nonra jato akinai	Nosotros ayudaremos.
Noara bewai	Cantaremos.
Nonra manai	Esperaremos.
Noara teetai	Trabajaremos.
Noara jaweki aki iki	Estamos ocupados.
Nonra keyoke	Terminamos.
Neno riki noa	Estamos acá.
Noara baneke	Estamos perdidos.
Noara jaweyoma iki	Somos pobres.
Noara sinata iki	Estamos hartos.
Noara koshima iki	Somos débiles.
¿Jawerin?	¿Qué pasa?
¿Jaweranorin ea?	¿Dónde estoy?
¿Tsoaki sai ika?	¿Quién gritó?
¿Minki kena?	¿Llamaste?
Minra yoiyai	Tú decides.
Miara kati atipanke	Puedes irte.
Matora moa kati atipanke	Pueden irse.
Minra jakoma ake	Fallaste.
Minra oinai	Ya verás.
Jakoma riki mia	Eres mala.
Moa yoxan riki mia	Estás vieja.
Onisarin mia	Estás triste.
¿Nonki moa keyoa?	¿Hemos terminado?
¿Jakonrin mia?	¿Estás loco?
¿Sinatarin mia?	¿Estás enfadado?
¿Benarin mia?	¿Eres nuevo?
Min kenai keska	Como quieras.
Min onana jawekibo awe	Sed creativos.
Jainma awe	Sé discreto.
Atires iwe	Estate preparado.
Ishtoncha jowe	Sé puntual.
Shinanai iwe	Sé razonable.
Jainshaman yoiwe	Sé específico.
Jaincha yoiwe	Especifica más.
Ninkatai iwe	Sé tolerante.
Koiranwe	Estate vigilante.
Ninkawe	Estate atento.
¿En peoti atipana?	¿Puedo comenzar?
¿Noa yoyo iti atipana?	¿Podemos hablar?
¿Yoyo itirin?	¿Podemos conversar?
¿Min ointi atipana?	¿Puedes ver?
Nericha jowe	Acercate.
Yoaxonawe	Cocíname.
Enra mia akinai	Cuenta conmigo.
¿Min kanana?	¿Ganaste?
Ramabi awe	Hazlo ahorita.
¿Mia bolichenin tsiniai?	¿Juegas boliche?
Sinayamawe	No discutáis.
En aka keska ayamawe	No copiéis.
¡Ayamawe!	¡No dispares!
Sai iyamawe	No chilles.
Osanyamawe	No sonrías.
Osanyamakanwe	No sonrían.
Jotiyamawe	No fumes.
Nato keyowe	Termine esto.
Nato keyokanwe	Termina esto.
Keyokanwe	Terminen esto.
Oinkanwe	Vístete.
¡Sinacha iwe!	¡Ponte serio!
¿Mia joa?	¿Ha venido?
Yakawe	Tome asiento.
Jara yosike	Él envejeció.
¡Mia joa!	¡Ha venido!
Mia vinoya iki	Tiene vino.
Mia jakon iki	Es feliz.
Eaki jan kenai	Le gusto.
Miara jansoai	Está fingiendo.
¡Neno riki noa!	¡Aquí estamos!
Neno riki noa	Aquí estamos.
¡Onanti jaweki!	¡Qué curioso!
Jaskara ikon	Qué raro.
Yoakai riki ea	Soy cocinero.
Eara jato imaiki	Estoy jodiendo.
Boshtiaki riki ea	Estoy leseando.
Enra bike	Lo compré.
Enra ati atipanke	Puedo hacerlo.
Enra akinti atipanke	Puedo compartir.
Enra yoike	Confesé.
Enra piamai	No como.
Enra pan píai	Como pan.
Enra yobin piai	Como fruta.
Eara matsin ikai	Tenía frío.
Enra mia nokoke	Te encontré.
Eara sinake	Me enfadé.
Enra ninkati jaweki beke	Traigo noticias.
Eara sereya ike	Tengo tiempo.
Eara vinoya iki	Tengo vino.
Enra mia ninkake	Te oí.
Enki mato onana	Los conozco.
Nokon kenrin mato	Me gustan.
Neno ja riki ea	Vivo aquí.
Nokon kenra iyantanke	La amaba.
Enra shinanpachoai	Lo extrañaba.
Eara joneti jake	Debo esconderme.
Enra akinti kenai	Necesito ayuda.
¡Eara akinkanti kenai!	¡Necesito ayuda!
Eara maton kenai	Los necesito.
Natora ea kenai	Necesito esto.
Eara sere kenai	Necesito tiempo.
Kebira en yoyo akai	Leo labios.
Karobora en maroai	Vendo autos.
Niwera en xetai	Huelo gas.
Eara kenai	Quiero más.
Jara ea kenai	Quiero eso.
Natora ea kenai	Quiero este.
Eara jishtena ibake	Estaba despierto.
Eara beyosa ibake	Estaba mareado.
Enra katanwe akanke	Me despidieron.
Eara akinke	Tuve suerte.
Chopaomara ea ibake	Estaba desnudo.
Paxkinara ea ibake	Estaba cansado.
Jainmara ea ibake	Estaba equivocado.
Enra manai	Esperaré.
Nenora ea teetai	Trabajo aquí.
Enra tanai	Lo probaré.
Eara finlandes iki	Soy finlandés.
Eara turco iki	Soy turco.
turca riki ea	Soy turca.
Pan akai riki ea	Soy panadero.
Ainbo riki ea	Soy mujer.
Onankasi riki ea	Tengo curiosidad.
Ransai riki ea	Estoy bailando.
Beneya riki ea	Estoy comprometida.
Raroi riki ea	Estoy emocionado.
Piamai riki ea	Estoy ayunando.
Eara jakon iki	Estoy saludable.
Eara westiora ainbonin kenai	Estoy enamorada.
Eara kai	Me voy.
Wanoa riki ea	Estoy casado.
Wanoa riki ea	Soy casado.
Benoa riki ea	Soy casada.
Eara rabinai	Estoy nervioso.
Ponte yoiyai riki ea	Soy neutral.
